trip_date,daily_revenue
2015-01-18,9936535.370007502
2015-01-30,7285081.899964592
2015-01-31,7207981.839961309
2015-01-16,7184199.729964912
2015-01-23,7134290.609965898
2015-01-10,7109819.939961714
2015-01-15,6898961.229968764
2015-01-22,6834478.71996889
2015-01-29,6775468.499970224
2015-01-09,6644073.319968593
