pickup_longitude,pickup_latitude,total_revenue,trip_count
-74.002197265625,40.739551544189446,3950623.9,2
0.0,0.0,3344388.009993514,227064
-73.94863891601561,40.74489974975586,15721.04999999984,1035
-74.1863021850586,40.69314193725586,9725.249999999996,726
-73.9867172241211,40.7222900390625,5710.280000000028,429
-73.91512298583984,40.74357604980469,4462.930000000017,305
-73.96153259277344,40.77063751220703,4009.3,1
-74.00314331054686,40.72767639160156,3241.9500000000085,232
-74.01433563232422,40.711856842041016,3006.35,1
-73.7767333984375,40.64537811279297,2967.8000000000006,53
-73.77671813964845,40.64537811279297,2757.7800000000016,53
-73.77670288085938,40.64539337158203,2666.8900000000003,49
-73.7767333984375,40.64543151855469,2641.720000000001,49
-73.7767333984375,40.64540863037109,2634.1900000000005,50
-73.77670288085938,40.64537811279297,2580.92,55
-73.77671813964845,40.64540100097656,2568.5000000000005,46
-73.7767333984375,40.64539337158203,2509.5699999999993,47
-73.7767105102539,40.64539337158203,2470.1200000000003,47
-73.870849609375,40.773738861083984,2459.9700000000007,64
-73.7767105102539,40.64537048339844,2448.6000000000004,47
